Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
13.82,17.3,0.37,2.522,0.03,170.1, 11.4,  6.8, 2.2,4909,153,2.151,0.012,-0.13,0.3,1.13,0.11,14.81,0.57,1.09,0.11,14.51,0.55,1.14,0.11,14.86,0.57,0
12.57,13.81,1.4,1.7,0.02,126.1, 11.3,  6.0, 0.9,4645,80,2.041,0.044,-0.11,0.15,2.56,0.8,25.3,2.67,2.42,0.75,24.58,2.59,2.58,0.8,25.35,2.68,0
12.88,5.54,0.38,0.96,0.048,424.3, 37.5,  2.7, 0.4,4103,80,1.617,0.03,0.13,0.15,1.35,0.39,29.93,3.66,1.18,0.34,27.96,3.34,1.32,0.38,29.56,3.6,0
13.62,11.76,0.29,1.76,0.073,275.8, 21.7,  5.2, 1.0,4367,80,1.958,0.012,-0.06,0.15,1.26,0.24,19.49,1.72,1.09,0.2,18.13,1.55,1.23,0.23,19.26,1.69,0
12.64,18.43,0.43,2.558,0.019,197.9, 11.3,  7.3, 1.0,4642,137,2.166,0.013,-0.63,0.3,1.19,0.11,14.91,0.51,1.01,0.1,13.76,0.47,1.13,0.11,14.56,0.5,0
13.57,9.23,0.3,1.485,0.015,353.2, 31.6,  3.9, 0.5,4445,131,1.857,0.016,-0.4,0.3,1.23,0.15,21.7,0.95,1.06,0.13,20.14,0.87,1.19,0.14,21.3,0.93,0
12.74,14.48,0.78,1.816,0.067,127.2, 10.8,  5.3, 1.2,4567,80,2.058,0.024,-0.01,0.15,2.22,0.5,23.06,2.14,2.04,0.45,22.11,2.03,2.22,0.5,23.08,2.14,0
12.27,24.68,0.61,2.523,0.069, 46.1,  4.1,  9.7, 6.1,5121,80,2.314,0.012,0.05,0.15,3.5,0.49,21.56,1.34,3.93,0.56,22.86,1.46,4.06,0.58,23.23,1.49,0
10.34,20.62,0.84,2.744,0.024,139.4,  6.8, 10.2, 2.3,4707,100,2.218,0.019,0.19,0.15,1.28,0.17,14.6,0.7,1.19,0.16,14.08,0.67,1.3,0.18,14.67,0.7,0
14.49,10.67,0.28,1.626,0.023,258.2, 20.5,  4.4, 0.7,4325,129,1.914,0.014,0.01,0.3,1.27,0.14,20.63,0.91,1.1,0.12,19.2,0.83,1.24,0.14,20.4,0.89,0
