Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
10.64,22.75,0.95,2.517,0.218,112.3, 11.3, 10.7, 2.4,4618,100,2.257,0.019,1.0,0.3,2.37,0.88,18.96,3.4,2.24,0.82,18.44,3.26,2.39,0.89,19.06,3.42,0
13.73,10.91,0.3,1.662,0.02,288.1, 20.8,  4.6, 0.9,4454,100,1.93,0.014,-0.71,0.3,1.3,0.14,20.49,0.84,1.13,0.12,19.07,0.77,1.24,0.13,19.97,0.81,0
12.23,15.08,0.3,2.065,0.019,255.6, 14.7,  7.3, 1.2,4177,80,2.056,0.011,0.07,0.15,1.31,0.11,17.77,0.57,1.14,0.1,16.55,0.52,1.28,0.11,17.54,0.56,0
13.98,16.89,0.31,2.45,0.028,247.5, 17.4,  6.3, 0.5,4773,148,2.134,0.011,-0.2,0.3,1.13,0.11,15.11,0.55,1.03,0.09,14.37,0.51,1.14,0.11,15.12,0.55,0
9.83,18.47,0.78,2.257,0.022, 94.0,  7.9,  7.1, 2.8,4614,80,2.166,0.019,0.1,0.15,1.96,0.27,19.14,0.94,1.78,0.25,18.26,0.9,1.97,0.27,19.19,0.95,0
15.36,18.3,0.57,2.463,0.018,189.3, 12.4,  6.5, 1.2,4679,163,2.165,0.016,-0.1,0.3,1.37,0.16,16.03,0.66,1.22,0.14,15.15,0.62,1.37,0.16,16.01,0.66,0
13.9,5.15,0.24,1.024,0.037,582.8, 60.2,  2.5, 0.6,4277,149,1.595,0.022,-0.22,0.3,0.9,0.19,24.98,2.22,0.74,0.15,22.77,1.96,0.87,0.18,24.6,2.17,0
12.19,25.87,0.69,3.217,0.029,142.0,  5.5, 11.8, 1.1,4592,100,2.311,0.013,0.39,0.3,1.29,0.13,13.17,0.48,1.19,0.12,12.61,0.46,1.29,0.13,13.15,0.48,0
8.65,14.73,0.23,2.135,0.012,237.4, 14.9,  5.5, 0.6,4648,132,2.069,0.01,-0.11,0.3,1.25,0.1,17.13,0.47,1.11,0.08,16.12,0.44,1.25,0.09,17.07,0.47,0
13.4,10.56,0.26,1.528,0.052,425.6, 30.1,  3.9, 0.6,4162,130,1.901,0.013,0.23,0.3,1.49,0.25,22.69,1.71,1.31,0.21,21.27,1.56,1.47,0.24,22.49,1.69,0
13.01,27.23,1.22,2.935,0.017, 88.2,  4.7, 15.4, 5.3,4918,149,2.348,0.021,0.01,0.3,2.41,0.36,17.23,0.88,2.37,0.35,17.06,0.87,2.47,0.37,17.42,0.89,0
9.91,114.7,1.78,8.745,0.028, 24.1,  1.3, 50.4, 4.7,5222,165,2.986,0.011,0.07,0.3,2.5,0.19,8.42,0.23,2.68,0.21,8.71,0.24,2.6,0.2,8.58,0.23,0
10.98,112.95,2.15,8.577,0.05, 21.4,  0.8, 58.5, 8.6,5043,80,2.972,0.01,-0.1,0.15,2.45,0.18,8.47,0.23,2.46,0.19,8.49,0.23,2.56,0.19,8.65,0.24,0
13.83,6.05,0.36,0.972,0.019,320.2, 38.0,  2.8, 0.5,4196,146,1.661,0.027,0.21,0.3,1.74,0.35,32.25,2.39,1.55,0.31,30.47,2.24,1.71,0.35,32.05,2.37,0
11.77,5.04,0.45,0.901,0.029,492.0, 54.6,  3.0, 0.6,4264,149,1.584,0.04,-0.48,0.3,1.39,0.42,31.49,3.54,1.24,0.37,29.73,3.31,1.35,0.41,31.07,3.48,0
10.38,21.18,0.98,2.412,0.12,110.0, 11.5,  9.7, 3.0,4628,132,2.226,0.021,0.26,0.3,2.27,0.57,19.25,2.15,2.13,0.53,18.65,2.05,2.31,0.58,19.4,2.17,0
12.53,13.52,0.25,2.029,0.009,284.8, 22.6,  5.5, 0.9,4518,131,2.026,0.011,-0.43,0.3,1.14,0.09,17.15,0.5,0.97,0.08,15.84,0.46,1.09,0.09,16.82,0.49,0
15.62,14.71,1.3,2.224,0.129,164.6, 19.0,  8.4, 1.9,5219,163,2.094,0.039,-0.61,0.3,1.26,0.45,16.7,2.46,1.26,0.45,16.67,2.46,1.3,0.47,16.94,2.51,0
13.79,19.61,0.27,2.584,0.023,234.9, 13.8,  6.6, 0.5,4449,131,2.184,0.01,0.01,0.3,1.29,0.1,15.22,0.46,1.13,0.09,14.23,0.42,1.27,0.1,15.11,0.46,0
13.48,14.49,0.7,2.105,0.051,315.6, 21.9,  6.0, 0.6,4447,132,2.052,0.022,-0.02,0.3,1.18,0.22,16.94,1.21,1.02,0.19,15.77,1.11,1.16,0.21,16.79,1.19,0
12.09,11.02,0.49,1.542,0.132,340.8, 63.0,  3.6, 0.7,4288,150,1.926,0.021,0.07,0.3,1.71,0.64,23.59,4.2,1.53,0.55,22.28,3.87,1.69,0.63,23.42,4.16,0
12.27,21.31,0.24,2.694,0.022,140.3,  7.6,  7.4, 0.7,4658,100,2.23,0.008,-0.25,0.3,1.5,0.1,15.57,0.42,1.33,0.09,14.64,0.39,1.48,0.1,15.47,0.41,0
9.49,18.29,0.32,2.309,0.014,158.6,  8.9,  7.0, 0.7,4571,100,2.159,0.01,0.26,0.3,1.71,0.13,18.02,0.5,1.55,0.12,17.17,0.47,1.73,0.13,18.12,0.5,0
11.76,8.13,0.24,1.322,0.022,315.1, 28.8,  3.2, 0.5,4218,100,1.79,0.014,0.55,0.3,1.24,0.15,23.48,1.12,1.08,0.13,21.91,1.03,1.23,0.15,23.39,1.12,0
13.47,36.33,1.16,4.137,0.029, 70.5,  4.0, 14.9, 1.6,5111,164,2.482,0.016,-0.2,0.3,1.54,0.18,11.79,0.48,1.52,0.18,11.71,0.48,1.58,0.18,11.94,0.49,0
13.22,10.22,0.22,1.606,0.023,391.8, 29.6,  3.8, 0.4,4353,100,1.896,0.011,-0.67,0.3,1.19,0.12,20.32,0.81,1.02,0.1,18.88,0.74,1.13,0.11,19.86,0.79,0
12.56,18.01,0.6,2.622,0.03,169.3,  9.3,  7.2, 1.9,5097,164,2.176,0.017,-0.17,0.3,1.16,0.15,14.53,0.67,1.17,0.15,14.63,0.67,1.16,0.15,14.58,0.67,0
9.75,8.34,0.39,1.313,0.063,249.6, 42.1,  4.2, 1.4,4383,126,1.809,0.021,0.14,0.3,1.46,0.35,24.9,2.7,1.28,0.31,23.36,2.47,1.44,0.35,24.75,2.68,0
11.01,24.45,1.46,2.53,0.021, 60.6,  5.2,  9.8, 3.3,4726,80,2.293,0.027,0.17,0.15,2.98,0.56,20.41,1.31,2.95,0.55,20.3,1.3,3.06,0.58,20.69,1.33,0
13.71,18.75,0.9,2.3,0.093,134.0, 17.7,  6.8, 1.4,4427,154,2.163,0.023,-0.18,0.3,1.78,0.4,18.32,1.77,1.6,0.36,17.35,1.65,1.75,0.39,18.17,1.75,0
12.73,17.05,0.23,2.484,0.067,213.6, 11.5,  6.1, 1.1,4776,140,2.138,0.01,-0.06,0.3,1.1,0.14,14.84,0.88,1.03,0.13,14.3,0.83,1.11,0.14,14.87,0.88,0
13.14,8.08,0.12,1.437,0.11,342.2, 39.7,  3.6, 0.7,4317,80,1.792,0.009,0.19,0.15,0.9,0.28,19.97,3.09,0.77,0.23,18.4,2.74,0.89,0.28,19.83,3.06,0
13.97,7.92,0.37,1.284,0.051,439.7, 32.5,  4.0, 1.1,4232,148,1.779,0.022,0.24,0.3,1.29,0.29,24.27,2.3,1.12,0.24,22.58,2.09,1.27,0.28,24.05,2.28,0
13.95,5.32,0.29,0.959,0.048,451.2, 58.7,  3.1, 1.0,4198,146,1.605,0.026,-0.16,0.3,1.24,0.33,29.12,3.4,1.08,0.28,27.1,3.08,1.2,0.32,28.64,3.32,0
13.79,16.67,0.61,2.484,0.11,183.5, 40.3,  4.6, 1.3,4457,156,2.114,0.018,0.21,0.3,0.93,0.2,14.02,1.38,0.82,0.17,13.13,1.26,0.93,0.2,13.99,1.38,0
9.68,108.76,2.08,8.867,0.028, 20.0,  0.8, 56.8,13.5,5011,175,2.954,0.012,-0.08,0.3,1.9,0.16,7.61,0.23,1.83,0.16,7.48,0.23,1.95,0.17,7.71,0.23,0
12.45,11.2,0.67,1.759,0.023,227.3, 14.7,  5.7, 0.7,4550,100,1.945,0.027,-0.66,0.3,1.16,0.22,18.97,1.28,0.98,0.19,17.47,1.17,1.1,0.21,18.45,1.24,0
13.2,17.91,0.5,2.693,0.016,145.7,  7.7,  7.9, 0.7,5330,172,2.184,0.015,-1.12,0.3,1.09,0.12,14.01,0.52,1.11,0.12,14.09,0.52,1.09,0.11,13.96,0.52,0
13.59,8.36,0.46,1.376,0.028,266.3, 18.0,  4.8, 0.8,4479,80,1.815,0.025,-0.63,0.15,1.25,0.24,22.95,1.62,1.08,0.2,21.3,1.49,1.19,0.23,22.39,1.58,0
13.3,7.71,0.16,1.412,0.023,419.6, 34.2,  2.8, 0.4,4791,147,1.794,0.012,-0.5,0.3,0.98,0.11,20.8,0.92,0.86,0.09,19.44,0.84,0.96,0.1,20.55,0.9,0
12.51,17.97,0.53,2.099,0.019,135.6,  6.8,  7.5, 0.9,4857,152,2.165,0.015,-0.01,0.3,2.6,0.29,22.09,0.9,2.54,0.29,21.83,0.88,2.66,0.3,22.34,0.91,0
13.23,111.33,1.83,8.803,0.067, 30.6,  1.1, 43.8, 6.2,5082,80,2.967,0.009,0.01,0.15,2.14,0.15,7.96,0.22,2.15,0.16,7.97,0.22,2.22,0.16,8.1,0.22,0
12.53,9.82,0.4,1.566,0.021,208.5, 15.1,  4.7, 0.9,4518,158,1.887,0.02,-0.46,0.3,1.23,0.18,20.92,1.12,1.06,0.16,19.39,1.03,1.18,0.17,20.52,1.1,0
9.55,14.81,0.67,1.928,0.096,199.6, 25.0,  6.4, 1.3,4493,127,2.064,0.021,-0.0,0.3,1.82,0.45,20.76,2.31,1.64,0.4,19.67,2.14,1.81,0.45,20.7,2.3,0
12.71,16.22,0.34,2.261,0.015,232.9, 12.2,  6.2, 0.8,4509,100,2.104,0.011,-0.45,0.3,1.27,0.11,16.56,0.51,1.1,0.09,15.38,0.46,1.22,0.1,16.25,0.49,0
11.23,7.76,0.29,1.54,0.068,262.2, 24.3,  3.2, 1.0,4851,100,1.8,0.017,-1.03,0.3,0.72,0.15,17.7,1.72,0.61,0.13,16.23,1.52,0.71,0.15,17.56,1.7,0
10.7,16.73,0.86,2.181,0.087,168.3, 25.7,  5.9, 0.9,4714,138,2.128,0.024,0.07,0.3,1.72,0.4,18.77,1.82,1.58,0.36,17.97,1.72,1.75,0.4,18.9,1.84,0
11.98,21.39,0.34,2.706,0.013,171.9, 12.3,  8.1, 0.9,4790,142,2.238,0.01,0.06,0.3,1.56,0.12,15.71,0.44,1.45,0.11,15.16,0.42,1.58,0.12,15.82,0.44,0
13.6,20.94,0.36,2.729,0.027,181.8,  8.5,  7.9, 0.7,4821,147,2.23,0.011,-0.04,0.3,1.43,0.12,15.17,0.51,1.33,0.12,14.64,0.49,1.44,0.13,15.27,0.51,0
10.8,8.44,1.36,1.445,0.092,234.0, 46.1,  4.5, 1.8,4574,132,1.824,0.07,0.01,0.3,1.1,0.6,21.26,4.38,0.97,0.53,19.96,4.07,1.09,0.6,21.15,4.36,0
12.86,15.2,0.18,2.001,0.023,215.3, 15.7,  5.1, 0.6,4658,141,2.083,0.009,0.22,0.3,1.79,0.15,20.14,0.67,1.65,0.13,19.31,0.63,1.82,0.15,20.3,0.67,0
12.94,7.26,0.32,1.39,0.018,308.6, 40.8,  2.8, 1.3,4867,154,1.772,0.021,-0.11,0.3,0.89,0.14,20.36,1.13,0.88,0.14,20.24,1.12,0.9,0.14,20.44,1.13,0
10.94,19.52,1.9,2.499,0.107,117.7, 14.8, 10.1, 2.6,4803,143,2.198,0.043,-0.21,0.3,1.63,0.56,16.83,2.21,1.47,0.5,16.0,2.08,1.64,0.56,16.9,2.22,0
12.46,118.99,2.48,8.792,0.086, 22.7,  1.8, 52.2,15.5,5039,80,2.994,0.011,0.05,0.15,2.59,0.22,8.49,0.28,2.65,0.23,8.59,0.28,2.71,0.23,8.68,0.29,0
9.45,20.78,0.55,2.5,0.027, 96.3,  5.9,  8.4, 0.9,4613,80,2.217,0.013,0.06,0.15,1.85,0.19,17.55,0.67,1.67,0.17,16.69,0.63,1.86,0.19,17.59,0.67,0
12.95,6.27,0.31,1.041,0.042,327.2, 31.4,  2.8, 0.7,4222,147,1.677,0.023,-0.26,0.3,1.48,0.34,29.2,2.84,1.32,0.3,27.6,2.63,1.44,0.33,28.86,2.8,0
8.78,6.56,0.57,1.001,0.015,295.5, 38.8,  2.6, 0.6,4080,81,1.689,0.038,0.0,0.15,1.88,0.51,32.48,3.05,1.75,0.48,31.28,2.93,1.88,0.51,32.44,3.05,0
13.06,15.23,0.43,2.205,0.037,295.4, 21.6,  5.6, 0.5,4522,134,2.078,0.014,0.16,0.3,1.17,0.14,16.38,0.79,1.04,0.12,15.41,0.73,1.16,0.14,16.34,0.79,0
9.99,5.18,0.12,0.974,0.034,595.7, 77.5,  1.7, 0.3,4314,150,1.599,0.013,-0.56,0.3,1.12,0.19,27.87,2.13,0.96,0.16,25.8,1.91,1.08,0.18,27.28,2.07,0
11.47,16.79,1.25,2.096,0.079,143.9, 16.3,  8.5, 2.0,4782,143,2.132,0.033,-0.13,0.3,2.08,0.58,20.53,2.22,1.91,0.52,19.66,2.1,2.1,0.58,20.62,2.23,0
13.41,5.58,0.14,1.116,0.021,568.9, 65.5,  2.3, 0.5,4186,146,1.625,0.014,-0.18,0.3,0.78,0.1,22.53,1.14,0.63,0.08,20.23,0.99,0.77,0.1,22.36,1.13,0
10.33,5.24,0.33,0.861,0.036,337.8, 58.6,  1.9, 0.5,4003,140,1.588,0.028,0.3,0.3,1.71,0.44,34.77,3.71,1.54,0.39,33.02,3.47,1.69,0.44,34.64,3.69,0
9.13,15.84,0.3,2.116,0.012,385.9, 25.0,  5.3, 0.5,4565,129,2.097,0.011,-0.13,0.3,1.57,0.13,18.57,0.55,1.4,0.12,17.5,0.52,1.55,0.13,18.47,0.55,0
13.29,6.65,0.17,1.347,0.062,421.7, 54.4,  2.2, 0.7,4795,149,1.73,0.014,-0.55,0.3,0.76,0.16,19.72,1.93,0.67,0.14,18.43,1.75,0.75,0.16,19.58,1.91,0
8.17,14.06,0.6,1.994,0.11,185.8, 28.2,  5.4, 1.2,4494,129,2.041,0.02,-0.04,0.3,1.36,0.36,18.42,2.21,1.2,0.31,17.27,2.02,1.34,0.35,18.29,2.19,0
11.63,17.43,0.69,1.975,0.117,161.1, 22.1,  6.3, 1.6,4538,158,2.137,0.019,-0.16,0.3,2.73,0.74,23.39,2.97,2.61,0.7,22.83,2.87,2.75,0.75,23.44,2.98,0
10.22,16.53,1.66,2.141,0.195, 98.1, 12.7,  8.8, 2.7,4564,80,2.115,0.044,0.27,0.15,1.7,0.81,18.94,3.95,1.55,0.72,18.04,3.7,1.72,0.82,19.04,3.98,0
13.87,8.36,0.24,1.381,0.028,344.8, 33.0,  3.1, 0.9,4447,155,1.813,0.015,-0.26,0.3,1.22,0.16,22.71,1.24,1.05,0.14,21.08,1.12,1.19,0.16,22.37,1.21,0
12.32,9.05,0.28,1.575,0.073,259.3, 49.2,  2.7, 0.7,4534,80,1.852,0.015,-0.75,0.15,0.95,0.2,19.09,1.89,0.78,0.16,17.33,1.65,0.89,0.19,18.52,1.81,0
13.66,11.68,0.59,1.641,0.156,342.0, 72.8,  3.7, 0.7,4506,157,1.962,0.024,-0.22,0.3,1.71,0.71,22.63,4.48,1.52,0.62,21.36,4.12,1.68,0.69,22.43,4.42,0
12.64,21.64,0.59,2.633,0.017,125.2,  8.4,  8.0, 1.3,4943,153,2.25,0.014,-0.21,0.3,1.89,0.2,17.06,0.63,1.77,0.19,16.55,0.61,1.93,0.2,17.28,0.64,0
13.34,9.14,0.76,1.373,0.118,389.7, 71.3,  3.9, 0.7,4383,153,1.849,0.037,-0.4,0.3,1.6,0.69,24.94,4.8,1.43,0.61,23.6,4.44,1.56,0.67,24.63,4.71,0
12.23,5.4,0.18,0.997,0.036,470.6, 44.3,  2.4, 0.4,4321,151,1.617,0.017,-0.36,0.3,1.16,0.22,27.75,2.29,1.0,0.18,25.72,2.06,1.12,0.21,27.21,2.23,0
13.97,111.17,2.2,8.641,0.059, 27.6,  1.2, 58.9, 8.3,4995,148,2.963,0.012,-1.05,0.3,2.24,0.19,8.18,0.26,2.09,0.18,7.9,0.25,2.29,0.2,8.27,0.26,0
13.92,6.82,0.48,1.276,0.04,421.4, 44.6,  3.8, 1.8,4342,151,1.72,0.032,-0.32,0.3,0.88,0.22,21.45,2.09,0.73,0.18,19.51,1.86,0.85,0.22,21.11,2.05,0
11.65,6.99,0.22,1.329,0.094,410.2, 34.3,  3.1, 0.7,4376,153,1.732,0.016,-0.26,0.3,0.81,0.25,20.35,2.99,0.67,0.2,18.47,2.59,0.8,0.24,20.13,2.94,0
10.99,15.51,0.81,2.589,0.046,209.3, 25.0,  7.7, 1.9,4572,100,2.088,0.024,0.07,0.3,0.66,0.12,12.16,0.8,0.6,0.11,11.61,0.76,0.67,0.12,12.29,0.81,0
12.55,12.1,0.25,1.818,0.018,190.9, 12.0,  5.9, 0.8,4619,100,1.983,0.011,-0.78,0.3,1.31,0.12,19.34,0.66,1.12,0.1,17.87,0.6,1.24,0.11,18.78,0.63,0
12.96,6.19,0.24,1.148,0.014,523.8, 52.4,  2.6, 0.4,4351,152,1.678,0.019,-0.3,0.3,1.01,0.14,24.07,1.22,0.85,0.12,22.07,1.11,0.97,0.14,23.62,1.19,0
13.82,5.5,0.23,0.877,0.021,416.0, 48.4,  2.1, 0.6,4147,145,1.616,0.02,0.04,0.3,1.93,0.33,35.77,2.4,1.77,0.3,34.3,2.28,1.92,0.32,35.66,2.39,0
9.49,8.54,0.32,1.315,0.044,423.0, 73.1,  3.0, 0.6,4030,80,1.802,0.017,0.0,0.15,1.37,0.25,24.38,1.91,1.21,0.21,22.9,1.75,1.34,0.24,24.08,1.88,0
12.85,13.46,0.88,2.227,0.062,184.0, 16.5,  6.2, 2.6,4659,80,2.031,0.029,-0.43,0.15,0.81,0.19,14.4,1.26,0.69,0.16,13.27,1.14,0.8,0.18,14.26,1.24,0
10.89,17.13,0.21,2.254,0.019,208.1, 14.3,  6.1, 0.9,4481,128,2.127,0.009,0.03,0.3,1.5,0.11,17.54,0.51,1.33,0.1,16.51,0.47,1.49,0.11,17.46,0.51,0
13.19,18.62,0.93,2.504,0.033,134.1,  6.3, 10.3, 2.6,4862,150,2.181,0.023,-0.2,0.3,1.43,0.24,16.09,0.97,1.32,0.22,15.46,0.93,1.46,0.25,16.23,0.98,0
13.53,19.2,0.52,2.497,0.029,152.8,  9.4,  8.2, 2.3,4982,161,2.199,0.014,-0.09,0.3,1.65,0.18,16.89,0.7,1.58,0.18,16.54,0.69,1.68,0.19,17.06,0.71,0
10.58,18.71,1.48,2.099,0.076,108.6, 12.2,  8.9, 3.1,4507,129,2.166,0.035,-0.11,0.3,2.62,0.75,22.15,2.42,2.49,0.7,21.56,2.34,2.63,0.75,22.19,2.43,0
10.7,9.81,0.85,1.443,0.088,255.8, 45.2,  4.1, 1.0,4200,125,1.871,0.038,-0.13,0.3,1.52,0.55,23.72,3.58,1.36,0.48,22.42,3.32,1.49,0.54,23.47,3.53,0
13.85,8.57,0.39,1.404,0.019,403.2, 33.1,  4.1, 0.8,4271,149,1.815,0.022,0.16,0.3,1.16,0.19,22.08,1.27,1.0,0.16,20.45,1.17,1.14,0.18,21.84,1.26,0
13.6,18.64,0.6,2.754,0.019,172.3, 10.0,  9.6, 1.6,4760,145,2.177,0.016,-0.22,0.3,0.95,0.11,13.18,0.54,0.86,0.1,12.55,0.51,0.94,0.11,13.12,0.53,0
13.15,16.79,1.03,2.442,0.093,193.1, 13.1,  8.9, 2.7,4781,146,2.132,0.028,0.0,0.3,1.13,0.28,15.13,1.51,1.06,0.26,14.65,1.45,1.14,0.28,15.17,1.52,0
11.26,13.54,0.48,1.727,0.086,233.6, 41.5,  5.2, 1.6,4269,80,2.014,0.017,0.34,0.15,2.0,0.46,23.06,2.47,1.81,0.41,21.91,2.3,1.99,0.46,22.96,2.46,0
9.41,6.3,0.46,0.991,0.021,266.0, 25.7,  3.2, 1.3,4030,80,1.669,0.032,0.0,0.3,1.7,0.41,31.63,2.72,1.56,0.37,30.29,2.59,1.69,0.4,31.52,2.71,0
11.48,16.28,0.62,2.455,0.069,203.6, 34.3,  4.7, 1.4,4832,142,2.121,0.018,-0.07,0.3,1.03,0.17,14.59,1.03,0.98,0.17,14.28,1.0,1.03,0.18,14.62,1.04,0
9.35,11.07,0.81,1.513,0.015,234.2, 20.0,  4.9, 0.6,4405,125,1.934,0.033,-0.01,0.3,1.95,0.45,24.95,1.95,1.76,0.4,23.72,1.85,1.93,0.44,24.81,1.94,0
13.78,21.09,0.43,2.788,0.028,179.9, 10.7,  8.3, 2.0,4788,147,2.231,0.012,-0.57,0.3,1.32,0.12,14.59,0.52,1.15,0.11,13.61,0.48,1.29,0.12,14.42,0.51,0
11.11,14.21,0.34,1.971,0.062,273.2, 47.5,  4.2, 1.0,4459,129,2.044,0.013,-0.14,0.3,1.45,0.23,18.98,1.33,1.28,0.19,17.79,1.22,1.43,0.22,18.79,1.32,0
11.86,18.15,0.79,2.487,0.034,254.2, 28.2,  7.0, 1.0,4550,134,2.155,0.02,0.11,0.3,1.23,0.19,15.38,0.85,1.1,0.17,14.5,0.8,1.23,0.19,15.37,0.85,0
12.84,9.86,0.23,1.524,0.026,371.9, 36.7,  4.0, 0.9,4415,154,1.884,0.013,-0.46,0.3,1.34,0.16,21.93,1.03,1.17,0.13,20.48,0.95,1.29,0.15,21.53,1.01,0
11.1,14.22,0.32,1.904,0.014,230.4, 14.5,  6.1, 1.0,4525,131,2.048,0.012,0.13,0.3,1.71,0.16,20.51,0.69,1.54,0.14,19.43,0.65,1.71,0.16,20.52,0.69,0
13.9,14.76,0.51,2.207,0.028,239.4, 18.4,  6.1, 0.7,4858,146,2.08,0.017,-0.35,0.3,1.18,0.15,16.42,0.78,1.07,0.14,15.66,0.74,1.19,0.15,16.47,0.78,0
11.51,15.27,0.97,2.152,0.127,160.6, 17.5,  7.7, 1.8,4554,80,2.08,0.028,-0.28,0.15,1.31,0.4,17.29,2.34,1.14,0.34,16.13,2.12,1.28,0.39,17.08,2.3,0
13.8,12.96,0.59,1.754,0.017,200.7, 12.5,  6.1, 1.0,4892,156,2.025,0.021,-0.04,0.3,2.02,0.31,22.89,1.24,1.92,0.3,22.28,1.2,2.07,0.32,23.17,1.25,0
9.65,5.2,0.37,0.978,0.012,429.3, 49.7,  2.6, 0.6,4240,148,1.597,0.032,-0.14,0.3,1.09,0.25,27.48,2.18,0.92,0.21,25.34,2.0,1.05,0.24,27.01,2.14,0
13.92,9.16,0.27,1.434,0.022,314.9, 33.0,  3.2, 0.5,4258,149,1.844,0.015,-0.16,0.3,1.3,0.16,22.58,1.08,1.13,0.14,21.07,0.99,1.26,0.16,22.23,1.06,0
13.5,18.74,0.27,2.544,0.039,219.6, 13.2,  6.7, 0.6,4508,100,2.167,0.009,-0.6,0.3,1.22,0.11,15.11,0.58,1.05,0.09,13.98,0.52,1.16,0.1,14.74,0.56,0
11.8,19.63,0.3,2.615,0.014,206.5, 12.3,  7.4, 0.6,4576,100,2.19,0.009,-0.25,0.3,1.29,0.09,15.09,0.39,1.12,0.08,14.08,0.36,1.26,0.09,14.93,0.38,0
13.07,121.2,4.63,9.197,0.106, 16.2,  4.5, 36.4,19.2,4909,80,2.996,0.018,0.22,0.15,2.2,0.29,7.8,0.37,2.16,0.28,7.73,0.37,2.25,0.3,7.89,0.38,0
13.87,13.15,0.18,1.941,0.024,355.9, 31.0,  4.3, 0.4,4663,139,2.021,0.01,-0.07,0.3,1.31,0.11,18.52,0.65,1.17,0.1,17.5,0.6,1.31,0.11,18.5,0.65,0
8.89,12.64,0.88,1.824,0.065,197.2, 26.4,  7.2, 2.2,4472,128,1.994,0.031,-0.19,0.3,1.4,0.36,19.74,2.0,1.23,0.31,18.47,1.84,1.37,0.35,19.52,1.98,0
10.23,5.37,0.15,0.95,0.047,364.0, 32.9,  2.7, 0.6,4255,148,1.612,0.015,-0.06,0.3,1.36,0.3,30.16,3.18,1.18,0.26,28.17,2.88,1.32,0.3,29.77,3.12,0
13.86,6.04,0.16,1.122,0.019,440.7, 58.5,  2.0, 0.4,4335,151,1.667,0.015,-0.28,0.3,1.02,0.13,24.53,1.2,0.86,0.1,22.53,1.08,0.98,0.12,24.08,1.17,0
13.63,16.8,0.42,2.451,0.014,191.5, 10.8,  7.1, 0.9,4936,156,2.139,0.014,-0.45,0.3,1.17,0.12,15.27,0.53,1.08,0.11,14.68,0.51,1.19,0.12,15.4,0.54,0
13.82,10.58,0.15,1.433,0.068,198.2, 13.2,  4.0, 0.4,5027,187,1.942,0.011,-1.56,0.3,2.57,0.53,28.38,2.8,2.54,0.52,28.21,2.78,2.66,0.55,28.85,2.87,0
11.79,6.82,0.26,1.065,0.014,319.2, 28.8,  3.0, 0.8,4128,144,1.709,0.019,-0.02,0.3,1.68,0.24,30.04,1.55,1.53,0.22,28.61,1.47,1.66,0.24,29.85,1.54,0
10.84,14.72,0.29,1.98,0.01,219.0, 14.3,  5.6, 0.5,4424,154,2.058,0.012,-0.1,0.3,1.57,0.14,19.41,0.61,1.39,0.12,18.25,0.57,1.54,0.14,19.24,0.6,0
13.54,18.51,0.26,2.717,0.027,191.5, 12.5,  7.3, 0.7,4658,100,2.169,0.009,-0.46,0.3,0.95,0.07,13.3,0.4,0.81,0.06,12.27,0.36,0.92,0.07,13.09,0.39,0
12.79,9.43,0.2,1.479,0.037,413.0, 26.7,  3.5, 0.3,4476,129,1.867,0.012,-0.2,0.3,1.35,0.18,22.42,1.3,1.18,0.15,20.94,1.19,1.32,0.17,22.16,1.28,0
11.49,17.85,0.43,2.289,0.061,145.2, 18.2,  6.0, 1.2,4595,100,2.15,0.012,-0.1,0.3,1.66,0.23,17.94,1.1,1.48,0.2,16.96,1.01,1.65,0.23,17.89,1.09,0
11.58,19.57,0.41,2.838,0.047,153.0,  8.6,  8.3, 1.2,4715,80,2.196,0.011,-0.41,0.15,0.96,0.1,12.96,0.55,0.83,0.08,12.06,0.5,0.94,0.09,12.8,0.54,0
12.06,15.63,0.97,2.198,0.035,106.0, 10.6,  7.6, 2.7,4662,80,2.096,0.028,-0.19,0.15,1.34,0.27,17.17,1.23,1.18,0.24,16.13,1.15,1.32,0.27,17.07,1.23,0
15.36,11.78,2.02,1.684,0.017,137.6, 21.3,  4.1, 1.9,5020,175,1.989,0.075,-0.13,0.3,1.86,0.96,22.87,3.97,1.79,0.93,22.43,3.9,1.91,0.99,23.18,4.03,0
12.77,5.38,0.78,0.922,0.044,426.5, 40.5,  3.9, 0.7,4292,150,1.615,0.063,-0.46,0.3,1.56,0.75,32.25,5.62,1.41,0.67,30.68,5.31,1.53,0.73,31.92,5.55,0
8.79,9.22,0.3,1.413,0.018,209.4, 18.1,  3.4, 0.6,4600,132,1.863,0.016,0.3,0.3,1.58,0.2,24.33,1.13,1.44,0.18,23.25,1.07,1.6,0.2,24.49,1.14,0
10.17,14.56,0.78,2.175,0.135,215.5, 29.2,  5.6, 0.9,4699,133,2.066,0.024,0.16,0.3,1.14,0.34,16.4,2.24,1.06,0.32,15.82,2.13,1.15,0.35,16.43,2.25,0
